itemId,yield,lines
FG-CCM25GE-16,1,"[{""id"":""RM-MICA-TAPE-CCM25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CCM25G"",""rmThk"":""0.11"",""rmGsm"":""142.5"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":""RM-POLYOLYFIN"",""options"":[],""rm"":""POLYOLYFIN"",""rmType"":null,""rmThk"":""0.05"",""rmGsm"":""47.5"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":null,""options"":[""RM-ADHESIVE-MOMENTIVE-595-NT"",""RM-ADHESIVE-Q2-7406""],""rm"":""ADHESIVE"",""rmType"":""MOMENTIVE 595 NT or Q2  7406"",""rmThk"":null,""rmGsm"":null,""qty"":20,""unit"":""KG"",""pickupPct"":null,""ranged"":true},{""id"":""RM-SOLVENT-ETHYLE-ACITATE"",""options"":[],""rm"":""SOLVENT"",""rmType"":""ETHYLE ACITATE"",""rmThk"":null,""rmGsm"":null,""qty"":30,""unit"":""KG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-HARDNER-BENZOILE-PEROXIDE"",""options"":[],""rm"":""HARDNER"",""rmType"":""BENZOILE PEROXIDE"",""rmThk"":null,""rmGsm"":null,""qty"":180,""unit"":""GRAM"",""pickupPct"":null,""ranged"":false}]"
FG-CM25G-08-10,1,"[{""id"":""RM-MICA-TAPE-CM25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CM25G"",""rmThk"":""0.08-0.10"",""rmGsm"":""115"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":true}]"
FG-CM25G-11-12,1,"[{""id"":""RM-MICA-TAPE-CM25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CM25G"",""rmThk"":""0.11-0.12"",""rmGsm"":""150"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":true}]"
FG-CM25G-13,1,"[{""id"":""RM-MICA-TAPE-CM25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CM25G"",""rmThk"":""0.13"",""rmGsm"":""170"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false}]"
FG-CM25G-14,1,"[{""id"":""RM-MICA-TAPE-CM25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CM25G"",""rmThk"":""0.14000000000000001"",""rmGsm"":""190"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false}]"
FG-CCM25DG-125,1,"[{""id"":""RM-MICA-TAPE-CCM25DG"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CCM25DG"",""rmThk"":""0.125"",""rmGsm"":""155"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false}]"
FG-CHDNW-15-SINGLE-SIDE,1,"[{""id"":""RM-NON-WOVEN-FABRIC-COMPRESSED"",""options"":[],""rm"":""NON-WOVEN FABRIC"",""rmType"":""COMPRESSED"",""rmThk"":""0.1"",""rmGsm"":""40"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":""RM-SAP"",""options"":[],""rm"":""SAP"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":45,""unit"":""KG"",""pickupPct"":100,""ranged"":false},{""id"":""RM-WATER-RO"",""options"":[],""rm"":""WATER RO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":180,""unit"":""KG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BONDEX-8060"",""options"":[],""rm"":""BONDEX"",""rmType"":""8060"",""rmThk"":null,""rmGsm"":null,""qty"":4,""unit"":""KG"",""pickupPct"":80,""ranged"":false},{""id"":""RM-DC"",""options"":[],""rm"":""DC"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":50,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-METHANOL"",""options"":[],""rm"":""METHANOL"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":70,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BPO"",""options"":[],""rm"":""BPO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":40,""unit"":""GRAM"",""pickupPct"":0,""ranged"":false}]"
FG-CHDNW-15-DOUBLE-SIDE,1,"[{""id"":""RM-NON-WOVEN-FABRIC-COMPRESSED"",""options"":[],""rm"":""NON-WOVEN FABRIC"",""rmType"":""COMPRESSED"",""rmThk"":""0.05"",""rmGsm"":""20"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":""RM-SAP"",""options"":[],""rm"":""SAP"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":20,""unit"":""KG"",""pickupPct"":100,""ranged"":false},{""id"":""RM-WATER-RO"",""options"":[],""rm"":""WATER RO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":180,""unit"":""KG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BONDEX-8060"",""options"":[],""rm"":""BONDEX"",""rmType"":""8060"",""rmThk"":null,""rmGsm"":null,""qty"":3,""unit"":""KG"",""pickupPct"":80,""ranged"":false},{""id"":""RM-DC"",""options"":[],""rm"":""DC"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":50,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-METHANOL"",""options"":[],""rm"":""METHANOL"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":70,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BPO"",""options"":[],""rm"":""BPO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":40,""unit"":""GRAM"",""pickupPct"":0,""ranged"":false},{""id"":""RM-NON-WOVEN-FABRIC-COMPRESSED"",""options"":[],""rm"":""NON-WOVEN FABRIC"",""rmType"":""COMPRESSED"",""rmThk"":""0.05"",""rmGsm"":""20"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":""RM-SAP"",""options"":[],""rm"":""SAP"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":20,""unit"":""KG"",""pickupPct"":100,""ranged"":false},{""id"":""RM-WATER-RO"",""options"":[],""rm"":""WATER RO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":180,""unit"":""KG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BONDEX-8060"",""options"":[],""rm"":""BONDEX"",""rmType"":""8060"",""rmThk"":null,""rmGsm"":null,""qty"":3,""unit"":""KG"",""pickupPct"":80,""ranged"":false},{""id"":""RM-DC"",""options"":[],""rm"":""DC"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":50,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-METHANOL"",""options"":[],""rm"":""METHANOL"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":70,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BPO"",""options"":[],""rm"":""BPO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":40,""unit"":""GRAM"",""pickupPct"":0,""ranged"":false}]"
FG-CHDNW-20,1,"[{""id"":""RM-NON-WOVEN-FABRIC-COMPRESSED"",""options"":[],""rm"":""NON-WOVEN FABRIC"",""rmType"":""COMPRESSED"",""rmThk"":""0.05"",""rmGsm"":""20"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":""RM-SAP"",""options"":[],""rm"":""SAP"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":35,""unit"":""KG"",""pickupPct"":100,""ranged"":false},{""id"":""RM-WATER-RO"",""options"":[],""rm"":""WATER RO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":180,""unit"":""KG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BONDEX-8060"",""options"":[],""rm"":""BONDEX"",""rmType"":""8060"",""rmThk"":null,""rmGsm"":null,""qty"":5,""unit"":""KG"",""pickupPct"":80,""ranged"":false},{""id"":""RM-DC"",""options"":[],""rm"":""DC"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":50,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-METHANOL"",""options"":[],""rm"":""METHANOL"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":70,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BPO"",""options"":[],""rm"":""BPO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":40,""unit"":""GRAM"",""pickupPct"":0,""ranged"":false},{""id"":""RM-NON-WOVEN-FABRIC-THERMAL-BONDING"",""options"":[],""rm"":""NON-WOVEN FABRIC"",""rmType"":""THERMAL BONDING"",""rmThk"":""0.05"",""rmGsm"":""20"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":""RM-SAP"",""options"":[],""rm"":""SAP"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":35,""unit"":""KG"",""pickupPct"":100,""ranged"":false},{""id"":""RM-WATER-RO"",""options"":[],""rm"":""WATER RO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":180,""unit"":""KG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BONDEX-8060"",""options"":[],""rm"":""BONDEX"",""rmType"":""8060"",""rmThk"":null,""rmGsm"":null,""qty"":5,""unit"":""KG"",""pickupPct"":80,""ranged"":false},{""id"":""RM-DC"",""options"":[],""rm"":""DC"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":50,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-METHANOL"",""options"":[],""rm"":""METHANOL"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":70,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BPO"",""options"":[],""rm"":""BPO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":40,""unit"":""GRAM"",""pickupPct"":0,""ranged"":false}]"
FG-CHDNW-25,1,"[{""id"":""RM-NON-WOVEN-FABRIC-NORMAL"",""options"":[],""rm"":""NON-WOVEN FABRIC"",""rmType"":""NORMAL"",""rmThk"":""0.15"",""rmGsm"":""20"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":""RM-SAP"",""options"":[],""rm"":""SAP"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":40,""unit"":""KG"",""pickupPct"":100,""ranged"":false},{""id"":""RM-WATER-RO"",""options"":[],""rm"":""WATER RO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":180,""unit"":""KG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BONDEX-8060"",""options"":[],""rm"":""BONDEX"",""rmType"":""8060"",""rmThk"":null,""rmGsm"":null,""qty"":8,""unit"":""KG"",""pickupPct"":80,""ranged"":false},{""id"":""RM-DC"",""options"":[],""rm"":""DC"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":50,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-METHANOL"",""options"":[],""rm"":""METHANOL"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":70,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BPO"",""options"":[],""rm"":""BPO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":40,""unit"":""GRAM"",""pickupPct"":0,""ranged"":false},{""id"":""RM-NON-WOVEN-FABRIC-COMPRESSED"",""options"":[],""rm"":""NON-WOVEN FABRIC"",""rmType"":""COMPRESSED"",""rmThk"":""0.05"",""rmGsm"":""20"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":""RM-SAP"",""options"":[],""rm"":""SAP"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":40,""unit"":""KG"",""pickupPct"":100,""ranged"":false},{""id"":""RM-WATER-RO"",""options"":[],""rm"":""WATER RO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":180,""unit"":""KG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BONDEX-8060"",""options"":[],""rm"":""BONDEX"",""rmType"":""8060"",""rmThk"":null,""rmGsm"":null,""qty"":8,""unit"":""KG"",""pickupPct"":80,""ranged"":false},{""id"":""RM-DC"",""options"":[],""rm"":""DC"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":50,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-METHANOL"",""options"":[],""rm"":""METHANOL"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":70,""unit"":""MG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-BPO"",""options"":[],""rm"":""BPO"",""rmType"":null,""rmThk"":null,""rmGsm"":null,""qty"":40,""unit"":""GRAM"",""pickupPct"":0,""ranged"":false}]"
